date;sensor;energy
2024-02-01 00:00:00;D;2615.0
2024-02-01 00:00:18;C;1098.8
2024-02-01 00:00:25;A;650.5
2024-02-01 00:00:33;J;966.7
2024-02-01 00:00:42;H;2145.4
2024-02-01 00:00:54;E;1874.0
2024-02-01 00:01:52;K;841.2
2024-02-01 00:02:00;E;1874.1
2024-02-01 00:02:20;I;927.2
2024-02-01 00:02:36;K;841.3
2024-02-01 00:03:24;G;833.7
2024-02-01 00:03:32;B;627.5
2024-02-01 00:04:24;D;2615.1
2024-02-01 00:04:40;F;748.0
2024-02-01 00:04:44;H;2145.5
2024-02-01 00:05:26;C;1098.8
2024-02-01 00:05:34;A;650.5
2024-02-01 00:05:42;J;966.7
2024-02-01 00:05:46;F;748.1
2024-02-01 00:06:26;J;966.8
2024-02-01 00:07:04;G;833.8
2024-02-01 00:07:08;E;1874.1
2024-02-01 00:07:28;I;927.2
2024-02-01 00:07:44;K;841.3
2024-02-01 00:08:36;E;1874.2
2024-02-01 00:08:40;B;627.5
2024-02-01 00:08:46;H;2145.6
2024-02-01 00:08:48;D;2615.2
2024-02-01 00:10:34;C;1098.8
2024-02-01 00:10:42;A;650.5
2024-02-01 00:10:54;F;748.1
2024-02-01 00:11:34;J;966.8
2024-02-01 00:12:12;G;833.8
2024-02-01 00:12:36;I;927.2
2024-02-01 00:12:48;H;2145.7
2024-02-01 00:12:52;K;841.3
2024-02-01 00:13:34;D;2615.3
2024-02-01 00:13:44;E;1874.2
2024-02-01 00:13:48;B;627.5
2024-02-01 00:14:50;E;1874.3
2024-02-01 00:15:18;F;748.2
2024-02-01 00:15:42;C;1098.8
2024-02-01 00:15:50;A;650.5
2024-02-01 00:16:42;J;966.8
2024-02-01 00:16:50;H;2145.8
2024-02-01 00:17:20;G;833.8
2024-02-01 00:17:44;I;927.2
2024-02-01 00:17:48;J;966.9
2024-02-01 00:17:58;D;2615.4
2024-02-01 00:18:00;K;841.3
2024-02-01 00:18:56;B;627.5
2024-02-01 00:19:58;E;1874.3
2024-02-01 00:20:26;F;748.2
2024-02-01 00:20:50;C;1098.8
2024-02-01 00:20:52;H;2145.9
2024-02-01 00:20:58;A;650.5
2024-02-01 00:21:04;E;1874.4
2024-02-01 00:22:00;D;2615.5
2024-02-01 00:22:38;F;748.3
2024-02-01 00:22:52;I;927.2
2024-02-01 00:22:56;J;966.9
2024-02-01 00:23:08;K;841.3
2024-02-01 00:24:04;B;627.5
2024-02-01 00:24:54;H;2146.0
2024-02-01 00:25:58;C;1098.8
2024-02-01 00:26:04;K;841.4
2024-02-01 00:26:06;A;650.5
2024-02-01 00:26:12;E;1874.4
2024-02-01 00:27:18;E;1874.5
2024-02-01 00:27:36;G;833.8
2024-02-01 00:27:46;F;748.3
2024-02-01 00:28:00;I;927.2
2024-02-01 00:28:04;J;966.9
2024-02-01 00:28:56;H;2146.1
2024-02-01 00:29:12;B;627.5
2024-02-01 00:29:44;K;841.5
2024-02-01 00:30:16;J;967.0
2024-02-01 00:30:42;F;748.4
2024-02-01 00:30:48;D;2615.7
2024-02-01 00:31:06;C;1098.8
2024-02-01 00:31:14;A;650.5
2024-02-01 00:32:26;E;1874.5
2024-02-01 00:32:44;G;833.8
2024-02-01 00:32:58;H;2146.2
2024-02-01 00:33:08;I;927.2
2024-02-01 00:33:10;E;1874.6
2024-02-01 00:33:24;K;841.6
2024-02-01 00:34:20;B;627.5
2024-02-01 00:35:24;J;967.0
2024-02-01 00:35:34;D;2615.8
2024-02-01 00:35:50;F;748.4
2024-02-01 00:36:14;C;1098.8
2024-02-01 00:36:22;A;650.5
2024-02-01 00:36:52;J;967.1
2024-02-01 00:37:00;H;2146.3
2024-02-01 00:37:04;K;841.7
2024-02-01 00:37:52;G;833.8
2024-02-01 00:38:16;I;927.2
